city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Kouribga,32.88,-6.9,2026-09-15,34.6,22.7,0.0,3,24.9,49.0,3
Kouribga,32.88,-6.9,2026-09-16,31.0,17.4,0.0,0,18.9,36.4,2
Kouribga,32.88,-6.9,2026-09-17,28.6,13.9,0.0,0,19.2,36.0,2
Kouribga,32.88,-6.9,2026-09-18,29.5,15.5,0.0,10,16.9,33.5,3
Kouribga,32.88,-6.9,2026-09-19,33.9,17.2,0.0,4,14.4,28.1,2
Kouribga,32.88,-6.9,2026-09-20,35.9,22.5,0.0,5,18.4,37.8,2
Kouribga,32.88,-6.9,2026-09-21,34.6,21.3,0.0,5,20.0,42.5,2
Settat,33.0023,-7.6198,2026-09-15,36.0,23.3,0.0,0,24.2,51.1,2
Settat,33.0023,-7.6198,2026-09-16,29.6,19.3,0.0,0,19.0,39.2,2
Settat,33.0023,-7.6198,2026-09-17,28.1,17.2,0.0,0,17.5,36.7,45
Settat,33.0023,-7.6198,2026-09-18,30.0,16.3,0.0,3,18.4,40.0,45
Settat,33.0023,-7.6198,2026-09-19,34.5,16.6,0.0,3,15.1,35.6,2
Settat,33.0023,-7.6198,2026-09-20,37.8,22.1,0.0,3,18.7,37.4,2
Settat,33.0023,-7.6198,2026-09-21,34.6,21.0,0.0,3,19.4,37.8,1
Barrechid,33.27,-7.5872,2026-09-15,35.7,21.4,0.0,0,22.4,40.0,2
Barrechid,33.27,-7.5872,2026-09-16,29.0,19.1,0.0,0,19.7,35.3,45
Barrechid,33.27,-7.5872,2026-09-17,28.1,18.4,0.0,0,17.9,32.8,3
Barrechid,33.27,-7.5872,2026-09-18,29.6,16.3,0.0,3,18.6,34.6,45
Barrechid,33.27,-7.5872,2026-09-19,33.5,16.6,0.0,2,16.2,30.6,45
Barrechid,33.27,-7.5872,2026-09-20,36.4,21.0,0.0,3,19.2,34.9,2
Barrechid,33.27,-7.5872,2026-09-21,33.3,19.9,0.0,0,20.5,36.0,2
Ad Dakhla,23.7167,-15.95,2026-09-15,24.8,21.7,0.0,12,36.0,45.0,1
Ad Dakhla,23.7167,-15.95,2026-09-16,23.5,22.1,0.0,3,36.7,45.7,0
Ad Dakhla,23.7167,-15.95,2026-09-17,22.2,20.0,0.0,0,40.5,52.2,2
Ad Dakhla,23.7167,-15.95,2026-09-18,21.1,20.2,0.0,0,39.2,49.0,0
