city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Taourirt,34.41,-2.89,2026-09-24,33.7,18.1,0.0,0,20.2,39.2,0
Temara,33.9234,-6.9076,2026-09-18,25.5,15.6,0.0,0,14.0,37.4,45
Temara,33.9234,-6.9076,2026-09-19,29.6,17.0,0.0,0,14.3,37.8,1
Temara,33.9234,-6.9076,2026-09-20,29.9,19.6,0.0,0,10.9,30.6,1
Temara,33.9234,-6.9076,2026-09-21,30.4,20.5,0.0,0,12.2,32.0,1
Temara,33.9234,-6.9076,2026-09-22,29.8,19.8,0.0,0,11.0,29.9,0
Temara,33.9234,-6.9076,2026-09-23,26.4,19.4,0.0,0,13.3,25.6,45
Temara,33.9234,-6.9076,2026-09-24,25.9,19.0,0.0,0,9.4,25.2,45
Laâyoune,27.15,-13.2,2026-09-18,28.0,19.8,0.1,0,29.3,56.9,51
Laâyoune,27.15,-13.2,2026-09-19,29.0,18.3,0.0,0,23.8,47.5,2
Laâyoune,27.15,-13.2,2026-09-20,32.2,18.6,0.0,0,18.9,38.9,3
Laâyoune,27.15,-13.2,2026-09-21,36.5,20.6,0.0,0,22.8,44.6,0
Laâyoune,27.15,-13.2,2026-09-22,35.6,21.4,0.0,2,26.8,51.8,1
Laâyoune,27.15,-13.2,2026-09-23,38.6,21.2,0.0,2,23.5,46.1,0
Laâyoune,27.15,-13.2,2026-09-24,39.6,23.3,0.0,4,26.0,54.7,3
El Jadid,33.2566,-8.5025,2026-09-18,23.9,19.3,0.0,0,18.3,33.1,2
El Jadid,33.2566,-8.5025,2026-09-19,25.4,20.6,0.0,0,15.2,28.1,2
El Jadid,33.2566,-8.5025,2026-09-20,27.2,20.3,0.0,0,12.0,22.7,2
El Jadid,33.2566,-8.5025,2026-09-21,26.7,21.3,0.0,0,13.4,24.5,45
El Jadid,33.2566,-8.5025,2026-09-22,26.4,20.8,0.0,0,11.8,22.0,45
El Jadid,33.2566,-8.5025,2026-09-23,27.1,19.9,0.0,0,13.7,29.2,45
El Jadid,33.2566,-8.5025,2026-09-24,27.4,19.9,0.0,0,11.8,29.2,45
Ait Melloul,30.3342,-9.4972,2026-09-18,26.0,19.3,0.0,0,17.6,35.3,3
Ait Melloul,30.3342,-9.4972,2026-09-19,26.0,20.1,0.0,0,20.3,40.3,2
Ait Melloul,30.3342,-9.4972,2026-09-20,26.6,20.0,0.0,0,18.4,36.4,45
Ait Melloul,30.3342,-9.4972,2026-09-21,33.1,21.2,0.0,0,14.6,31.0,3
Ait Melloul,30.3342,-9.4972,2026-09-22,32.0,21.1,0.0,0,17.7,36.4,0
Ait Melloul,30.3342,-9.4972,2026-09-23,35.8,20.3,0.0,0,13.2,28.4,1
Ait Melloul,30.3342,-9.4972,2026-09-24,34.3,18.4,0.0,0,12.9,26.6,45
Béni Mellal,32.3394,-6.3608,2026-09-18,31.4,18.6,0.0,0,9.0,28.8,3
Béni Mellal,32.3394,-6.3608,2026-09-19,35.4,22.7,0.0,13,14.1,31.3,3
Béni Mellal,32.3394,-6.3608,2026-09-20,35.7,24.4,0.2,5,18.7,43.9,3
