city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week
Béni Mellal,32.3394,-6.3608,2026-09-18,31.4,18.6,0.0,0,9.0,28.8,3,High,None,Low,18,9,Friday
Béni Mellal,32.3394,-6.3608,2026-09-19,35.4,22.7,0.0,13,14.1,31.3,3,Very High,None,Low,19,9,Saturday
Béni Mellal,32.3394,-6.3608,2026-09-20,35.7,24.4,0.2,5,18.7,43.9,3,Very High,Low,Low,20,9,Sunday
Béni Mellal,32.3394,-6.3608,2026-09-21,35.3,24.2,0.0,2,18.7,40.0,3,Very High,None,Low,21,9,Monday
Béni Mellal,32.3394,-6.3608,2026-09-22,34.2,24.0,0.0,0,17.6,37.8,3,High,None,Low,22,9,Tuesday
Béni Mellal,32.3394,-6.3608,2026-09-23,36.0,23.3,0.0,0,16.5,33.8,0,Very High,None,Low,23,9,Wednesday
Béni Mellal,32.3394,-6.3608,2026-09-24,36.3,25.3,0.0,0,13.2,33.8,0,Very High,None,Low,24,9,Thursday
Bouskoura,33.4489,-7.6486,2026-09-18,26.6,17.1,0.0,0,15.6,38.2,3,Normal,None,Low,18,9,Friday
Bouskoura,33.4489,-7.6486,2026-09-19,30.0,18.6,0.0,0,15.0,37.4,45,High,None,Low,19,9,Saturday
Bouskoura,33.4489,-7.6486,2026-09-20,33.6,20.0,0.0,0,14.8,37.1,2,High,None,Low,20,9,Sunday
Bouskoura,33.4489,-7.6486,2026-09-21,33.0,21.2,0.0,0,14.7,37.8,1,High,None,Low,21,9,Monday
Bouskoura,33.4489,-7.6486,2026-09-22,32.5,20.2,0.0,0,13.4,33.8,45,High,None,Low,22,9,Tuesday
Bouskoura,33.4489,-7.6486,2026-09-23,28.5,18.5,0.0,0,12.6,32.8,45,Normal,None,Low,23,9,Wednesday
Bouskoura,33.4489,-7.6486,2026-09-24,28.5,18.9,0.0,0,11.0,33.5,45,Normal,None,Low,24,9,Thursday
Tiznit,29.7,-9.7269,2026-09-18,24.9,18.8,0.0,0,19.9,33.8,2,Normal,None,Low,18,9,Friday
