city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week,rain_risk,wind_risk,temperature_risk,probability_risk,risk_score,risk_level
Kenitra,34.25,-6.5833,2026-09-22,31.9,19.0,0.0,0,12.3,31.7,0,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Kenitra,34.25,-6.5833,2026-09-23,30.1,19.0,0.0,0,13.7,28.8,1,High,None,Low,23,9,Wednesday,0,0,30,0,6.0,Faible
Kenitra,34.25,-6.5833,2026-09-24,28.8,18.2,0.0,0,10.6,28.8,1,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-18,28.1,16.3,0.0,3,20.9,44.6,3,Normal,None,Moderate,18,9,Friday,0,25,0,0,7.5,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-19,29.1,19.1,0.8,58,17.8,40.0,80,Normal,Low,Low,19,9,Saturday,20,0,0,50,14.5,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-20,29.7,18.9,0.8,24,16.7,36.4,80,Normal,Low,Low,20,9,Sunday,20,0,0,25,10.75,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-21,26.4,18.4,0.0,5,17.8,38.5,45,Normal,None,Low,21,9,Monday,0,0,0,0,0.0,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-22,29.5,15.1,0.0,3,16.4,37.4,2,Normal,None,Low,22,9,Tuesday,0,0,0,0,0.0,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-23,30.8,17.8,0.0,0,17.9,36.0,1,High,None,Low,23,9,Wednesday,0,0,30,0,6.0,Faible
Oujda-Angad,34.6867,-1.9114,2026-09-24,33.0,16.5,0.0,0,20.1,35.6,1,High,None,Moderate,24,9,Thursday,0,25,30,0,13.5,Faible
Tétouan,35.5667,-5.3667,2026-09-18,26.7,17.9,0.0,0,21.3,52.9,3,Normal,None,Moderate,18,9,Friday,0,25,0,0,7.5,Faible
Tétouan,35.5667,-5.3667,2026-09-19,25.9,22.4,0.0,3,31.6,74.2,2,Normal,None,Moderate,19,9,Saturday,0,25,0,0,7.5,Faible
Tétouan,35.5667,-5.3667,2026-09-20,26.3,23.0,0.0,5,24.9,64.8,3,Normal,None,Moderate,20,9,Sunday,0,25,0,0,7.5,Faible
Tétouan,35.5667,-5.3667,2026-09-21,27.1,22.8,0.0,0,27.4,65.9,2,Normal,None,Moderate,21,9,Monday,0,25,0,0,7.5,Faible
Tétouan,35.5667,-5.3667,2026-09-22,26.9,21.2,0.0,0,20.1,47.9,2,Normal,None,Moderate,22,9,Tuesday,0,25,0,0,7.5,Faible
Tétouan,35.5667,-5.3667,2026-09-23,27.4,20.8,0.0,0,17.2,44.3,2,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
Tétouan,35.5667,-5.3667,2026-09-24,28.3,19.3,0.0,0,13.6,38.9,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Safi,32.2833,-9.2333,2026-09-18,25.4,18.2,0.0,0,21.7,38.9,1,Normal,None,Moderate,18,9,Friday,0,25,0,0,7.5,Faible
Safi,32.2833,-9.2333,2026-09-19,26.6,19.2,0.0,0,18.1,33.8,2,Normal,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
Safi,32.2833,-9.2333,2026-09-20,25.0,19.9,0.0,0,8.6,18.0,2,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
Safi,32.2833,-9.2333,2026-09-21,26.6,18.6,0.0,0,10.9,21.6,45,Normal,None,Low,21,9,Monday,0,0,0,0,0.0,Faible
Safi,32.2833,-9.2333,2026-09-22,25.6,18.8,0.0,0,11.7,24.5,45,Normal,None,Low,22,9,Tuesday,0,0,0,0,0.0,Faible
